39556,12999
4846,37043
21101,43653
28598,38902
7635,35127
5563,26577
781,8223
15427,27736
1584,34205
17242,41147
21442,40353
40158,19391
17727,11205
45960,5227
14906,392
46140,29045
15592,17033
8311,6623
33575,2277
35992,3371
26638,27248
3272,22779
33761,10248
1043,23436
19963,49066
1967,33018
26638,38712
33273,10248
40607,42226
46171,48642
21551,4547
26519,46633
9251,7192
31039,4344
60,36307
3769,34662
2213,44625
40801,35058
8964,51948
15288,22727
52013,4934
20914,34847
1499,10248
49286,11205
48925,44452
49026,41557
40285,52373
2862,26577
43343,51271
47152,13145
51034,11626
21406,23217
3655,13199
13800,10248
9497,39362
47158,3080
6893,10248
30367,36017
40345,5349
14344,17155
47652,40217
1270,13199
39167,8223
24835,27736
41610,34324
23852,11205
26629,47267
46777,46579
40556,23217
20201,6776
35856,33868
26462,32464
32716,44139
52085,34373
45488,43800
17180,12771
52969,7249
49614,39315
1682,34205
8398,52143
39578,34861
43656,4835
15695,13355
51821,19488
45681,11473
30862,21928
36457,15548
47524,43495
53267,40283
1719,41557
38662,26362
24974,3179
7658,9071
32492,15214
35414,4005
655,49733
29663,50471
34499,11848
392,49507
36039,41557
35909,38944
48138,13199
29287,11205
35248,26436
26237,26851
10575,22033
1478,44071
35012,23217
12809,19717
46533,25526
38796,2548
48778,40283
47745,34862
45440,10404
45184,44100
31912,45270
1481,36307
35729,6124
2509,8223
519,14788
44873,9651
42516,38933
42199,50408
6701,23643
8129,32908
34896,51442
36253,41955
48314,10248
42438,32317
35540,50408
33048,45453
42646,41615
2274,14788
32744,9591
14052,29521
45238,21928
4524,4934
45256,45359
41003,17155
11907,5956
26638,5411
47651,11205
18352,13199
2805,4005
36599,4005
52682,13510
45493,8223
35688,48155
9360,34001
32716,31430
43765,3212
12962,5854
21185,19043
21176,38944
53229,3222
9002,45359
35656,40283
3697,16385
45576,22536
28085,41639
41229,26577
20093,41359
40181,52143
10902,51937
9669,32939
41981,39878
31629,4005
27993,21151
37813,8223
27647,52076
6752,19770
49978,50408
11564,36672
39979,41557
7799,51402
4677,21151
22785,1018
22270,21928
4240,9071
46111,14286
22301,40217
7388,43800
19359,40283
20427,10248
47689,35276
48658,21151
23828,4005
7841,24006
47654,36307
33452,8223
1695,7835
47872,21928
40515,10248
41911,35263
47144,34205
11988,11342
6979,19683
38209,11205
35313,40283
32765,23807
22680,42899
51013,11205
16847,46507
9847,5349
27274,17605
47059,38944
12160,15210
13138,45068
29286,40217
24984,16777
13486,33558
33689,5916
14194,23217
13622,1218
27915,34324
572,27231
33524,10248
41637,3179
9814,4005
22648,47831
45421,10404
39458,21151
20528,8321
20209,34381
23448,40283
43942,44976
36888,7054
22010,44635
41046,39010
20580,51063
30070,26851
11364,52224
31302,5349
5189,22150
28572,40155
43853,22844
4452,4908
7604,19949
2041,39860
9004,10248
18233,23223
15299,44100
34849,37043
10890,40283
20354,19317
47964,18462
36946,53082
51325,11753
43953,46507
40366,4908
37103,392
36774,45193
37692,41557
33879,3179
12843,12859
52977,10248
11106,10248
1044,40217
11584,45541
28900,12415
36946,52262
12489,4270
9387,26851
31013,30409
33186,4005
7045,47748
8058,41557
26166,4005
50121,11342
15784,49233
16812,39876
13471,51063
42720,9458
17135,12859
13465,11641
28402,27736
12493,28624
30334,44100
